"País","Reciclaje %","Recuperacion energetica %","Vertedero %"
Países Bajos,45,55,0
Noruega,44,54,2
España,43,21,36
Alemania,42,57,1
Dinamarca,40,58,2
Suecia,39,60,1
Republica Checa,39,22,39
Bélgica,39,59,2
Reino Unido,37,44,19
Eslovenia,35,32,33
Estonia,34,46,20
Luxemburgo,34,66
Letonia,34,2,64
Italia,34,34,32
Rumania,33,11,56
Portugal,32,35,33
Austria,31,69
Eslovaquia,30,25,45
Irlanda,29,62,9
Suiza,28,72
Croacia,28,5,71
Chipre,27,2,71
Lituania,27,28,45
Polonia,27,32,41
Grecia,25,2,73
Francia,25,44,31
Malta,23,2,75
Bulgaria,23,8,69
Hungria,22,21,57
Finlandia,21,77,2
