Entity                           ,Year ,Per capita plastic waste (kg/person/day) ,"GDP per capita, PPP (constant 2011 international $)" ,"Total population (Gapminder, HYDE & UN)"
Albania                          ,2010 ,                                   0.069 ,                                    9927.18184117512  ,                                2948000.0
Algeria                          ,2010 ,                                   0.144 ,                                   12870.6026985154   ,                               35977000.0
Angola                           ,2010 ,                                   0.062 ,                                    5897.68284059848  ,                               23356000.0
Antigua and Barbuda              ,2010 ,                                   0.66  ,                                   19212.7201307541   ,                                  88000.0
Argentina                        ,2010 ,                                   0.183 ,                                   18712.0630773436   ,                               40896000.0
Australia                        ,2010 ,                                   0.112 ,                                   41464.0400696359   ,                               22155000.0
Bahamas                          ,2010 ,                                   0.39  ,                                   29221.9911816149   ,                                 355000.0
Bahrain                          ,2010 ,                                   0.132 ,                                   40570.5356928307   ,                                1241000.0
Bangladesh                       ,2010 ,                                   0.034 ,                                    2442.72888765696  ,                              147575008.0
Barbados                         ,2010 ,                                   0.57  ,                                   16417.9624523108   ,                                 282000.0
Belgium                          ,2010 ,                                   0.08  ,                                   41085.9189401366   ,                               10939000.0
Belize                           ,2010 ,                                   0.172 ,                                    7876.80958597644  ,                                 322000.0
Benin                            ,2010 ,                                   0.043 ,                                    1818.77846075906  ,                                9199000.0
Bermuda                          ,2010 ,                                   0.252 ,                                   56395.0078003539   ,                                  65000.0
Bosnia and Herzegovina           ,2010 ,                                   0.144 ,                                    9720.34217718095  ,                                3705000.0
Brazil                           ,2010 ,                                   0.165 ,                                   14537.5671930903   ,                              195714000.0
Brunei                           ,2010 ,                                   0.026 ,                                   80552.8644713138   ,                                 389000.0
Bulgaria                         ,2010 ,                                   0.154 ,                                   15283.2914751664   ,                                7425000.0
Cambodia                         ,2010 ,                                   0.066 ,                                    2522.92682475402  ,                               14312000.0
Cameroon                         ,2010 ,                                   0.046 ,                                    2929.82911281962  ,                               20341000.0
Canada                           ,2010 ,                                   0.093 ,                                   40699.3551293841   ,                               34148000.0
Cape Verde                       ,2010 ,                                   0.065 ,                                    5828.24158804338  ,                                 493000.0
Chile                            ,2010 ,                                   0.119 ,                                   19442.0503154635   ,                               17063000.0
China                            ,2010 ,                                   0.121 ,                                    9525.81848339164  ,                             1368811008.0
Colombia                         ,2010 ,                                   0.144 ,                                   10900.5052821616   ,                               45223000.0
Comoros                          ,2010 ,                                   0.201 ,                                    1412.50268663997  ,                                 690000.0
Congo                            ,2010 ,                                   0.069 ,                                    5186.34478845194  ,                                4274000.0
Costa Rica                       ,2010 ,                                   0.258 ,                                   12999.9921931442   ,                                4577000.0
Cote d'Ivoire                    ,2010 ,                                   0.103 ,                                    2690.25800198952  ,                               20533000.0
Croatia                          ,2010 ,                                   0.252 ,                                   20171.9575294867   ,                                4328000.0
Cyprus                           ,2010 ,                                   0.248 ,                                   33941.1380158355   ,                                1113000.0
Democratic Republic of Congo     ,2010 ,                                   0.045 ,                                     660.210955818272 ,                               64564000.0
Denmark                          ,2010 ,                                   0.047 ,                                   43998.4366716285   ,                                5555000.0
Dominica                         ,2010 ,                                   0.149 ,                                   10198.2733729326   ,                                  71000.0
Dominican Republic               ,2010 ,                                   0.144 ,                                   11132.5526905467   ,                                9695000.0
Ecuador                          ,2010 ,                                   0.147 ,                                    9352.34423681593  ,                               15011000.0
Egypt                            ,2010 ,                                   0.178 ,                                    9857.46828190066  ,                               82761000.0
El Salvador                      ,2010 ,                                   0.147 ,                                    6300.77538777337  ,                                6184000.0
Equatorial Guinea                ,2010 ,                                   0.144 ,                                   33723.3658030152   ,                                 944000.0
Eritrea                          ,2010 ,                                   0.045 ,                                    1416.36580154238  ,                                3170000.0
Estonia                          ,2010 ,                                   0.176 ,                                   22740.9720038708   ,                                1332000.0
Fiji                             ,2010 ,                                   0.189 ,                                    7352.08836002372  ,                                 860000.0
Finland                          ,2010 ,                                   0.234 ,                                   39848.1344978775   ,                                5366000.0
France                           ,2010 ,                                   0.192 ,                                   36855.8446824064   ,                               62880000.0
Gabon                            ,2010 ,                                   0.054 ,                                   15355.7846497731   ,                                1624000.0
Gambia                           ,2010 ,                                   0.048 ,                                    1644.24236613493  ,                                1793000.0
Georgia                          ,2010 ,                                   0.068 ,                                    6733.78376130988  ,                                4099000.0
Germany                          ,2010 ,                                   0.485 ,                                   40428.7210307617   ,                               80827000.0
Ghana                            ,2010 ,                                   0.04  ,                                    3059.38362640541  ,                               24780000.0
Greece                           ,2010 ,                                   0.2   ,                                   28726.0792836873   ,                               10888000.0
Grenada                          ,2010 ,                                   0.325 ,                                   11177.9997155594   ,                                 106000.0
Guatemala                        ,2010 ,                                   0.28  ,                                    6714.0635955465   ,                               14630000.0
Guinea                           ,2010 ,                                   0.03  ,                                    1573.54495756823  ,                               10192000.0
Guinea-Bissau                    ,2010 ,                                   0.054 ,                                    1400.36329312665  ,                                1523000.0
Guyana                           ,2010 ,                                   0.586 ,                                    5847.85725499679  ,                                 749000.0
Haiti                            ,2010 ,                                   0.09  ,                                    1502.03271141224  ,                                9949000.0
Honduras                         ,2010 ,                                   0.189 ,                                    3971.18299352727  ,                                8317000.0
Hong Kong                        ,2010 ,                                   0.398 ,                                   48107.7086333279   ,                                6966000.0
Iceland                          ,2010 ,                                   0.281 ,                                   38978.0055953415   ,                                 320000.0
India                            ,2010 ,                                   0.01  ,                                    4404.69700530387  ,                             1234280960.0
Indonesia                        ,2010 ,                                   0.057 ,                                    8433.49735678452  ,                              241834000.0
Iran                             ,2010 ,                                   0.144 ,                                   17942.8328426143   ,                               73763000.0
Iraq                             ,2010 ,                                   0.103 ,                                   12717.5975271684   ,                               29742000.0
Ireland                          ,2010 ,                                   0.43  ,                                   44030.4141487055   ,                                4554000.0
Israel                           ,2010 ,                                   0.297 ,                                   29743.0058727916   ,                                7346000.0
Italy                            ,2010 ,                                   0.134 ,                                   36201.1615672134   ,                               59325000.0
Jamaica                          ,2010 ,                                   0.034 ,                                    7996.01948795873  ,                                2810000.0
Japan                            ,2010 ,                                   0.171 ,                                   35749.7566788784   ,                              128542000.0
Jordan                           ,2010 ,                                   0.144 ,                                    9472.76832624669  ,                                7262000.0
Kenya                            ,2010 ,                                   0.027 ,                                    2476.01074216401  ,                               42031000.0
Kiribati                         ,2010 ,                                   0.103 ,                                    1731.53862650466  ,                                 103000.0
Kuwait                           ,2010 ,                                   0.686 ,                                   75204.145116617    ,                                2992000.0
Latvia                           ,2010 ,                                   0.124 ,                                   18251.9532813473   ,                                2119000.0
Lebanon                          ,2010 ,                                   0.094 ,                                   16451.7598336606   ,                                4953000.0
Liberia                          ,2010 ,                                   0.084 ,                                     699.653721510599 ,                                3891000.0
Libya                            ,2010 ,                                   0.144 ,                                   29630.2221484622   ,                                6198000.0
Lithuania                        ,2010 ,                                   0.132 ,                                   21070.6343301646   ,                                3124000.0
Macao                            ,2010 ,                                   0.368 ,                                   98184.3365009534   ,                                 538000.0
Madagascar                       ,2010 ,                                   0.016 ,                                    1385.68507168039  ,                               21152000.0
Malaysia                         ,2010 ,                                   0.198 ,                                   21107.2679372523   ,                               28208000.0
Maldives                         ,2010 ,                                   0.322 ,                                   12005.5046183167   ,                                 366000.0
Malta                            ,2010 ,                                   0.214 ,                                   28364.7993209208   ,                                 414000.0
Marshall Islands                 ,2010 ,                                   0.192 ,                                    3479.15530340683  ,                                  56000.0
Mauritania                       ,2010 ,                                   0.045 ,                                    3316.97478042489  ,                                3494000.0
Mauritius                        ,2010 ,                                   0.23  ,                                   15938.4192089782   ,                                1248000.0
Mexico                           ,2010 ,                                   0.087 ,                                   15715.9721449501   ,                              114093000.0
Micronesia (country)             ,2010 ,                                   0.103 ,                                    3297.65693360804  ,                                 103000.0
Montenegro                       ,2010 ,                                   0.144 ,                                   14034.5845640087   ,                                 624000.0
Morocco                          ,2010 ,                                   0.073 ,                                    6443.25361319481  ,                               32343000.0
Mozambique                       ,2010 ,                                   0.015 ,                                     917.763832040531 ,                               23532000.0
Myanmar                          ,2010 ,                                   0.075 ,                                    3721.21144009279  ,                               50601000.0
Namibia                          ,2010 ,                                   0.144 ,                                    8460.84736812378  ,                                2119000.0
Nauru                            ,2010 ,                                   0.144 ,                                    6592.43683574598  ,                                  10000.0
Netherlands                      ,2010 ,                                   0.424 ,                                   45524.6621425733   ,                               16683000.0
New Zealand                      ,2010 ,                                   0.331 ,                                   32119.2155430773   ,                                4370000.0
Nicaragua                        ,2010 ,                                   0.143 ,                                    4028.71208738128  ,                                5824000.0
Nigeria                          ,2010 ,                                   0.103 ,                                    5150.15881822763  ,                              158503008.0
Norway                           ,2010 ,                                   0.28  ,                                   62350.4107068751   ,                                4886000.0
Oman                             ,2010 ,                                   0.084 ,                                   45335.8525168436   ,                                3041000.0
Pakistan                         ,2010 ,                                   0.103 ,                                    4283.60731163635  ,                              179424992.0
Palau                            ,2010 ,                                   0.144 ,                                   11846.5739334318   ,                                  18000.0
Palestine                        ,2010 ,                                   0.063 ,                                    4172.74568921544  ,                                4056000.0
Panama                           ,2010 ,                                   0.145 ,                                   15628.5922438738   ,                                3643000.0
Papua New Guinea                 ,2010 ,                                   0.103 ,                                    3191.58041028301  ,                                7311000.0
Peru                             ,2010 ,                                   0.144 ,                                    9956.55663668307  ,                               29028000.0
Philippines                      ,2010 ,                                   0.075 ,                                    5596.83728794962  ,                               93967000.0
Poland                           ,2010 ,                                   0.097 ,                                   21770.6444359772   ,                               38330000.0
Portugal                         ,2010 ,                                   0.265 ,                                   27238.4606724422   ,                               10596000.0
Puerto Rico                      ,2010 ,                                   0.252 ,                                   33924.0540101397   ,                                3580000.0
Qatar                            ,2010 ,                                   0.16  ,                                  125140.838348001    ,                                1856000.0
Romania                          ,2010 ,                                   0.042 ,                                   17553.2832966444   ,                               20472000.0
Russia                           ,2010 ,                                   0.112 ,                                   23107.7852212759   ,                              143479008.0
Saint Kitts and Nevis            ,2010 ,                                   0.654 ,                                   21412.201453108    ,                                  49000.0
Saint Lucia                      ,2010 ,                                   0.522 ,                                   12123.8351390475   ,                                 174000.0
Saint Vincent and the Grenadines ,2010 ,                                   0.221 ,                                    9915.57761891195  ,                                 108000.0
Samoa                            ,2010 ,                                   0.103 ,                                    5399.89309631838  ,                                 186000.0
Sao Tome and Principe            ,2010 ,                                   0.103 ,                                    2641.51394847294  ,                                 180000.0
Saudi Arabia                     ,2010 ,                                   0.156 ,                                   45421.2284797446   ,                               27421000.0
Senegal                          ,2010 ,                                   0.103 ,                                    2183.99505141766  ,                               12678000.0
Seychelles                       ,2010 ,                                   0.358 ,                                   20365.1189331513   ,                                  91000.0
Sierra Leone                     ,2010 ,                                   0.041 ,                                    1199.98985027502  ,                                6416000.0
Singapore                        ,2010 ,                                   0.194 ,                                   72115.8395014504   ,                                5131000.0
Slovenia                         ,2010 ,                                   0.145 ,                                   28678.3726303687   ,                                2043000.0
Solomon Islands                  ,2010 ,                                   0.103 ,                                    1871.36935209356  ,                                 528000.0
South Africa                     ,2010 ,                                   0.24  ,                                   11887.8050343927   ,                               51217000.0
South Korea                      ,2010 ,                                   0.112 ,                                   30352.1048190303   ,                               49546000.0
Spain                            ,2010 ,                                   0.277 ,                                   32507.0939660629   ,                               46931000.0
Sri Lanka                        ,2010 ,                                   0.357 ,                                    8529.57144219453  ,                               20262000.0
Sudan                            ,2010 ,                                   0.103 ,                                    3366.09626107549  ,                               34545000.0
Suriname                         ,2010 ,                                   0.163 ,                                   14211.8775163255   ,                                 529000.0
Sweden                           ,2010 ,                                   0.048 ,                                   42942.5625032962   ,                                9390000.0
Tanzania                         ,2010 ,                                   0.023 ,                                    2090.58322467574  ,                               44347000.0
Thailand                         ,2010 ,                                   0.144 ,                                   13486.5624149548   ,                               67195000.0
Togo                             ,2010 ,                                   0.057 ,                                    1208.2812098328   ,                                6422000.0
Tonga                            ,2010 ,                                   0.223 ,                                    4984.19362951029  ,                                 104000.0
Trinidad and Tobago              ,2010 ,                                   0.29  ,                                   31260.9070471763   ,                                1328000.0
Tunisia                          ,2010 ,                                   0.144 ,                                   10436.3655998628   ,                               10635000.0
Turkey                           ,2010 ,                                   0.212 ,                                   17959.2591065745   ,                               72327000.0
Tuvalu                           ,2010 ,                                   0.144 ,                                    2986.44985588888  ,                                  11000.0
Ukraine                          ,2010 ,                                   0.103 ,                                    7824.49845171438  ,                               45792000.0
United Arab Emirates             ,2010 ,                                   0.199 ,                                   57232.6180757649   ,                                8550000.0
United Kingdom                   ,2010 ,                                   0.215 ,                                   36366.9831782522   ,                               63460000.0
United States                    ,2010 ,                                   0.335 ,                                   49374.1788851797   ,                              309011008.0
Uruguay                          ,2010 ,                                   0.252 ,                                   17082.4046586765   ,                                3359000.0
Vanuatu                          ,2010 ,                                   0.295 ,                                    2948.03293729183  ,                                 236000.0
Venezuela                        ,2010 ,                                   0.252 ,                                   16544.9720552598   ,                               28440000.0
Vietnam                          ,2010 ,                                   0.103 ,                                    4408.16861192198  ,                               87968000.0
Yemen                            ,2010 ,                                   0.103 ,                                    4478.7435991429   ,                               23155000.0
